ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
1450,Mindelo,80,0,,,TRUE
1451,Jo?o Teves,20,0,,,
1452,Dakar,20,0,,,TRUE
1453,MBour,40,0,,,TRUE
1454,ThiŠs,20,0,,,TRUE
1455,Serrekunda,20,0,,,TRUE
1456,Tivaouane,40,0,,,TRUE
1457,Yundum,2560,0,,,TRUE
1458,Brikama,40,0,,,TRUE
1459,Nouadhibou,80,0,,,TRUE
1460,Bambey,20,0,,,TRUE
1461,Saint-Louis,20,0,,,TRUE
1462,Fatick,20,0,,,TRUE
1463,Ziguinchor,20,0,,,TRUE
1464,Bignona,40,0,,,TRUE
1465,Diourbel,20,0,,,TRUE
1466,Louga,20,0,,,TRUE
1467,Kaolack,20,0,,,TRUE
1468,Keur Madiabel,20,0,,,TRUE
1469,Gossas,20,0,,,TRUE
1470,Darou Mousti,20,0,,,TRUE
1471,Guinguin‚o,20,0,,,TRUE
1472,Goudomp,20,0,,,TRUE
1473,Touba,20,0,,,TRUE
1474,Nouakchott,20,0,,,TRUE
1476,Nioro du Rip,20,0,,,TRUE
1477,Bissau,20,0,,,TRUE
1478,Rosso S‚n‚gal,40,0,,,TRUE
1480,Farafenni,20,0,,,TRUE
1481,S‚dhiou,20,0,,,TRUE
1482,Richard-Toll,80,0,,,TRUE
1484,Kaffrine,20,0,,,TRUE
1485,Dahra Djoloff,20,0,,,TRUE
1486,Dakhla,20,0,,,TRUE
1487,Dagana,20,0,,,TRUE
1489,Kolda,20,0,,,TRUE
1490,Podor,20,0,,,TRUE
1491,Koungheul,20,0,,,TRUE
1492,Bafat ,80,0,,,TRUE
1493,Kamsar,80,0,,,TRUE
1496,Koumpentoum,20,0,,,TRUE
1497,Bok‚,40,0,,,TRUE
1498,Gab£,20,0,,,TRUE
1499,Bogu‚,20,0,,,TRUE
1500,V‚lingara,20,0,,,TRUE
1501,Sangar‚di,20,0,,,TRUE
1502,Conakry,20,0,,,TRUE
1503,Boujdour,20,0,,,TRUE
1504,Madina Gounass,20,0,,,TRUE
1505,Fria,40,0,,,TRUE
1506,Tambacounda,20,0,,,TRUE
1507,Freetown,20,0,,,TRUE
1508,Ka‚di,20,0,,,TRUE
1509,Mahera,80,0,,,TRUE
1511,Waterloo,80,0,,,TRUE
1512,Kindia,40,0,,,TRUE
1513,Waound‚,20,0,,,TRUE
1515,Lab‚,80,0,,,TRUE
1516,Mile 91,20,0,,,TRUE
1517,Kedougou,20,0,,,TRUE
1518,Mamou,40,0,,,TRUE
1519,Makeni,40,0,,,TRUE
1520,Bo,20,0,,,TRUE
1521,Kayes,40,0,,,TRUE
1522,Kenema,20,0,,,TRUE
1523,Kiffa,40,0,,,TRUE
1524,Koidu Town,80,0,,,TRUE
1525,Daru,20,0,,,TRUE
1526,Monrovia,20,0,,,TRUE
1527,Faranah,40,0,,,TRUE
1528,Dinguiraye,40,0,,,TRUE
1529,Kakata,20,0,,,TRUE
1530,Tan-Tan,20,0,,,TRUE
1531,Gu‚ck‚dou,40,0,,,TRUE
1532,Kissidougou,40,0,,,TRUE
1533,Buchanan,80,0,,,TRUE
1534,Gbarnga,80,0,,,TRUE
1535,Macenta,80,0,,,TRUE
1536,Kita,40,0,,,TRUE
1537,Guelmim,20,0,,,TRUE
1538,Banankoro,40,0,,,TRUE
1539,Kankan,20,0,,,TRUE
1540,Siguiri,20,0,,,TRUE
1541,Ganta,80,0,,,TRUE
1542,Tiznit,20,0,,,TRUE
1543,Essaouira,20,0,,,TRUE
1544,Agadir,20,0,,,TRUE
1545,Nz‚r‚kor‚,20,0,,,TRUE
1546,Ouled-Teima,20,0,,,TRUE
1547,Safi,20,0,,,TRUE
1548,Sinko,20,0,,,TRUE
1549,Danan‚,40,0,,,TRUE
1550,Taroudant,20,0,,,TRUE
1552,Kati,80,0,,,TRUE
1553,Bamako,20,0,,,TRUE
1555,S‚nou,80,0,,,TRUE
1557,Youssoufia ????????? ????????,20,0,,,TRUE
1558,El Jadida,20,0,,,TRUE
1560,Sidi Bennour,20,0,,,TRUE
1561,Tinduf,20,0,,,TRUE
1562,Man,20,0,,,TRUE
1563,Guiglo,20,0,,,TRUE
1564,Azemmour,20,0,,,TRUE
1565,Bougouni,40,0,,,TRUE
1567,Duekoue,20,0,,,TRUE
1570,Marrakesh,20,0,,,TRUE
1571,Ben Guerir,20,0,,,TRUE
1574,Dar Bouazza,20,0,,,TRUE
1575,Casablanca,20,0,,,TRUE
1577,Settat,20,0,,,TRUE
